질병코드,버전,영문명,한글명
O83,7,Other assisted single delivery,기타 보조단일분만
O83.0,7,Breech extraction,둔부태위만출
O83.1,7,Other assisted breech delivery,기타 보조둔부태위분만
O83.2,7,Other manipulation-assisted delivery,기타 도수조작-보조분만
O83.3,7,Delivery of viable fetus in abdominal pregnancy,복강임신의 생존가능한 태아의 분만
O83.4,7,Destructive operation for delivery,분만을 위한 파괴적 수술
O83.8,7,Other specified assisted single delivery,기타 명시된 보조단일분만
O83.9,7,"Assisted single delivery, unspecified",상세불명의 보조단일분만
O84,7,Multiple delivery,다태분만
O84.0,7,"Multiple delivery, all spontaneous",모두 자연적인 다태분만
O84.1,7,"Multiple delivery, all by forceps and vacuum extractor",모두 집게 및 진공흡착기에 의한 다태분만
O84.2,7,"Multiple delivery, all by caesarean section",모두 제왕절개에 의한 다태분만
O84.8,7,Other multiple delivery,기타 다태분만
O84.9,7,"Multiple delivery, unspecified",상세불명의 다태분만
O85,7,Puerperal sepsis,산후기 패혈증
O86,7,Other puerperal infections,기타 산후기감염
O86.0,7,Infection of obstetric surgical wound,산과수술상처의 감염
O86.1,7,Other infection of genital tract following delivery,분만에 따른 생식관의 기타 감염
O86.2,7,Urinary tract infection following delivery,분만에 따른 요로감염
O86.3,7,Other genitourinary tract infections following delivery,분만에 따른 기타 비뇨생식관감염
O86.4,7,Pyrexia of unknown origin following delivery,분만에 따른 원인불명열
O86.8,7,Other specified puerperal infections,기타 명시된 산후기감염
O87,7,Venous complications and haemorrhoids in the puerperium,산후기중 정맥합병증 및 치핵
O87.0,7,Superficial thrombophlebitis in the puerperium,산후기중 표재성 혈전정맥염
O87.1,7,Deep phlebothrombosis in the puerperium,산후기중 심부정맥혈전증
O87.2,7,Haemorrhoids in the puerperium,산후기중 치핵
O87.3,7,Cerebral venous thrombosis in the peurperium,산후기중 대뇌정맥혈전증
O87.8,7,Other venous complications in the puerperium,산후기중 기타 정맥합병증
O87.9,7,"Venous complication in the puerperium, unspecified",산후기중 상세불명의 정맥합병증
O88,7,Obstetric embolism,산과적 색전증
O88.0,7,Obstetric air embolism,산과적 공기색전증
O88.1,7,Amniotic fluid embolism,양수색전증
O88.2,7,Obstetric blood-clot embolism,산과적 피떡색전증
O88.3,7,Obstetric pyaemic and septic embolism,산과적 농혈성 및 패혈성 색전증
O88.8,7,Other obstetric embolism,기타 산과적 색전증
O89,7,Complications of anaesthesia during the puerperium,산후기중 마취의 합병증
O89.0,7,Pulmonary complications of anaesthesia during the puerperium,산후기중 마취의 폐합병증
O89.1,7,Cardiac complications of anaesthesia during the puerperium,산후기중 마취의 심장합병증
O89.2,7,Central nervous system complications of anaesthesia during the puerperium,산후기중 마취의 중추신경계통합병증
O89.3,7,Toxic reaction to local anaesthesia during the puerperium,산후기중 국소마취에 대한 독성 반응
O89.4,7,Spinal and epidural anaesthesia- induced headache during the puerperium,산후기중 척수 및 경막외마취-유발 두통
O89.5,7,Other complications of spinal and epidural anaesthesia during the puerperium,산후기중 척수 및 경막외마취의 기타 합병증
O89.6,7,Failed or difficult intubation during the puerperium,산후기중 실패한 또는 어려운 삽관
O89.8,7,Other complications of anaesthesia during the puerperium,산후기중 마취의 기타 합병증
O89.9,7,"Complications of anaesthesia during the puerperium, unspecified",산후기중 마취의 상세불명의 합병증
O90,7,"Complications of the puerperium, NEC",달리 분류되지 않은 산후기의 합병증
O90.0,7,Disruption of caesarean section wound,제왕절개상처의 파열
O90.1,7,Disruption of perineal obstetric wound,산과적 회음상처의 파열
O90.2,7,Haematoma of obstetric wound,산과적 상처의 혈종
O90.3,7,Cardiomyopathy in the puerperium,산후기 심근병증
O90.4,7,Postpartum acute renal failure,분만후 급성 신부전
O90.5,7,Postpartum thyroiditis,분만후 갑상선염
O90.8,7,"Other complications of the puerperium, NEC",달리 분류되지 않은 산후기의 기타 합병증
O90.9,7,"Complication of the puerperium, unspecified",산후기의 상세불명의 합병증
O91,7,Infections of breast associated with childbirth,출산과 관련된 유방의 감염
O91.0,7,Infection of nipple associated with childbirth,출산과 관련된 유두의 감염
O91.1,7,Abscess of breast associated with childbirth,출산과 관련된 유방의 농양
O91.2,7,Nonpurulent mastitis associated with childbirth,출산과 관련된 비화농성 유방염
O92,7,Other disorders of breast and lactation associated with childbirth,출산과 관련된 유방 및 수유의 기타 장애
O92.0,7,Retracted nipple associated with childbirth,출산과 관련된 함몰유두
O92.1,7,Cracked nipple associated with childbirth,출산과 관련된 갈라진 유두
O92.2,7,Other and unspecified disorders of breast associated with childbirth,출산과 관련된 유방의 기타 및 상세불명의 장애
O92.3,7,Agalactia,젖마름증
O92.4,7,Hypogalactia,젖분비저하
O92.5,7,Suppressed lactation,억제된 수유
O92.6,7,Galactorrhoea,유루
O92.7,7,Other and unspecified disorders of lactation,수유의 기타 및 상세불명 장애
O94,7,"Sequelae of complication of pregnancy, childbirth and the puerperium","임신, 출산 및 산후기 합병증의 후유증"
O95,7,Obstetric death of unspecified cause,상세불명의 원인에 의한 산과적 사망
O96,7,Death from any obstetric cause occurring more than 42days but less than one year after delivery,분만후 42일 초과 1년 이내에 일어난 모든 산과적 원인에 의한 사망
O96.0,7,Death from direct obstetric cause occurring more than 42 days but less than one year after delivery,분만후 42일 초과 1년 이내에 일어난 직접 산과적 원인에 의한 사망
O96.1,7,Death from indirect obstetric cause occurring more than 42 days but less than one year after delivery,분만후 42일 초과 1년 이내에 일어난 간접 산과적 원인에 의한 사망
O96.9,7,Death from unspecified obstetric cause occurring more than 42 days but less than one year after delivery,분만후 42일 초과 1년 이내에 일어난 상세불명의 산과적 원인에 의한 사망
O97,7,Death from sequelae of obstetric causes,산과적 원인의 후유증에 의한 사망
O97.0,7,Death from sequelae of direct obstetric cause,직접 산과적 원인의 후유증에 의한 사망
O97.1,7,Death from sequelae of indirect obstetric cause,간접 산과적 원인의 후유증에 의한 사망
O97.9,7,"Death from sequelae of obstetric cause, unspecified",상세불명의 산과적 원인의 후유증에 의한 사망
O98,7,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 산모의 감염성 및 기생충성 질환"
O98.0,7,"Tuberculosis complicating pregnancy,  childbirth and the puerperium","임신, 출산 및 산후기에 합병된 결핵"
O98.1,7,"Syphilis complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 매독"
O98.2,7,"Gonorrhoea complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 임질"
O98.3,7,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 주로 성행위로 전파되는 기타 감염"
O98.4,7,"Viral hepatitis complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 바이러스간염"
O98.5,7,"Other viral diseases complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 기타 바이러스질환"
O98.6,7,"Protozoal diseases complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 원충질환"
O98.7,7,"Human immunodeficiency virus [HIV] disease complicating pregnancy,childbirth and the puerperium","임신, 출산 및 산후기에 합병된 인체면역결핍바이러스병"
O98.8,7,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 기타 산모의 감염 및 기생충질환"
O98.9,7,"Unspecified maternal infectious or parasitic disease complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 상세불명의 산모의 감염 및 기생충질환"
O99,7,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 기타 산모질환"
O99.0,7,"Anaemia complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 빈혈"
O99.1,7,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium","혈액 및 조혈기관의 기타 질환과 임신, 출산 및 산후기에 합병된 면역메커니즘을 침범한 특정 장애"
O99.2,7,"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 내분비, 영양 및 대사 질환"
O99.3,7,"Mental disorders and diseases of the nervous system complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 신경계통의 질환 및 정신장애"
O99.4,7,"Diseases of the circulatory system complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 순환계통질환"
O99.5,7,"Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 호흡계통질환"
O99.6,7,"Diseases of the digestive system complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 소화계통질환"
O99.7,7,"Diseases of the skin and subcutaneous tissue complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 피부 및 피하조직 질환"
O99.8,7,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium","임신, 출산 및 산후기에 합병된 기타 명시된 질환 및 병태"
P00,7,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,현재 임신과는 관계 없을 것 같은 산모병태에 의해 영향받은 태아 및 신생아
P00.0,7,Fetus and newborn affected by maternal hypertensive disorders,산모고혈압장애에 의해 영향을 받은 태아 및 신생아
P00.1,7,Fetus and newborn affected by maternal renal and urinary tract diseases,산모 신장 및 요로 질환에 의해 영향을 받은 태아 및 신생아
P00.2,7,Fetus and newborn affected by maternal infectious and parasitic diseases,산모감염 및 기생충 질환에 의해 영향을 받은 태아 및 신생아
P00.3,7,Fetus and newborn affected by other maternal circulatory and respiratory diseases,기타 산모 순환 및 호흡기 질환에 의해 영향받은 태아 및 신생아
P00.4,7,Fetus and newborn affected by maternal nutritional disorders,산모영양장애에 의해 영향을 받은 태아 및 신생아
P00.5,7,Fetus and newborn affected by maternal injury,산모손상에 의해 영향을 받은 태아 및 신생아
P00.6,7,Fetus and newborn affected by surgical procedure on mother,산모에 대한 수술적 처치에 의해 영향을 받은 태아 및 신생아
P00.7,7,"Fetus and newborn affected by other medical procedures on mother, NEC",달리 분류되지 않은 산모에 대한 기타 의학적 처치에 의해 영향을 받은 태아 및 신생아
P00.8,7,Fetus and newborn affected by other maternal conditions,기타 산모병태에 의해 영향을 받은 태아 및 신생아
P00.9,7,Fetus and newborn affected by unspecified maternal condition,상세불명의 산모병태에 의해 영향을 받은 태아 또는 신생아
P01,7,Fetus and newborn affected by maternal complications of pregnancy,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아
P01.0,7,Fetus and newborn affected by incompetent cervix,자궁경관무력증에 의해 영향을 받은 태아 및 신생아
P01.1,7,Fetus and newborn affected by premature rupture of membranes,양막조기파열에 의해 영향을 받은 태아 및 신생아
P01.2,7,Fetus and newborn affected oligohy- dramnios,양수과소에 의해 영향을 받은 태아 및 신생아
P01.3,7,Fetus and newborn affected by polyhy- dramnios,양수과다에 의해 영향을 받은 태아 및 신생아
P01.4,7,Fetus and newborn affected by ectopic pregnancy,자궁외임신에 의해 영향을 받은 태아 및 신생아
P01.5,7,Fetus and newborn affected by multiple pregnancy,다태임신에 의해 영향을 받은 태아 및 신생아
P01.6,7,Fetus and newborn affected by maternal death,모성사망에 의해 영향을 받은 태아 및 신생아
P01.7,7,Fetus and newborn affected by malpresentation before labour,출산전 이상태위에 의해 영향을 받은 태아 및 신생아
P01.8,7,Fetus and newborn affected by other maternal complications of pregnancy,기타 임신의 산모합병증에 의해 영향을 받은 태아 및 신생아
P01.9,7,"Fetus and newborn affected by maternal complications of pregnancy, unspecified",상세불명의 임신의 산모합병증에 의해 영향을 받은 태아 및 신생아
P02,7,"Fetus and newborn affected by complications of placenta, cord and membranes","태반, 탯줄 및 태아막의 합병증에 의해 영향을 받은 태아 및 신생아"
P02.0,7,Fetus and newborn affected by placenta praevia,전치 태반에 의해 영향을 받은 태아 및 신생아
P02.1,7,Fetus and newborn affected by other forms of placental separation and haemorrhage,태반 분리의 기타 형태 및 출혈에 의해 영향을 받은 태아 및 신생아
P02.2,7,Fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,태반의 기타 및 상세불명의 형태학적 및 기능 이상에 의해 영향을 받은 태아 및 신생아
P02.3,7,Fetus and newborn affected by placental transfusion syndromes,태반수혈증후군에 의해 영향을 받는 태아 및 신생아
P02.4,7,Fetus and newborn affected by prolapsed cord,탯줄탈출에 의해 영향을 받은 태아 및 신생아
P02.5,7,Fetus and newborn affected by other compression of umbilical cord,탯줄의 기타 압박에 의해 영향을 받은 태아 및 신생아
P02.6,7,Fetus and newborn affected by other and unspecified conditions of umbilical cord,탯줄의 기타 및 상세불명의 병태에 의해 영향받은 태아 및 신생아
P02.7,7,Fetus and newborn affected by chorioamnionitis,융모양막염에 의해 영향을 받은 태아 및 신생아
P02.8,7,Fetus and newborn affected by other abnormalities of membranes,태아막의 기타 이상에 의해 영향을 받은 태아 및 신생아
P02.9,7,"Fetus and newborn affected by abnormality of membranes, unspecified",태아막의 상세불명의 이상에 의해 영향을 받은 태아 및 신생아
P03,7,Fetus and newborn affected by other complications of labour and delivery,진통 및 분만의 기타 합병증에 의해 영향을 받은 태아 및 신생아
P03.0,7,Fetus and newborn affected by breech delivery and extraction,둔부태위분만 및 흡착분만에 의해 영향을 받은 태아 및 신생아
P03.1,7,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery","진통 및 분만중 기타 이상태위, 위치장애 및 불균형에 의해 영향을 받은 태아 및 신생아"
P03.2,7,Fetus and newborn affected by forceps delivery,집게분만에 의해 영향을 받은 태아 및 신생아
P03.3,7,Fetus and newborn affected by delivery by vacuum extractor[ventouse],진공흡착기[흡반]에 의한 분만에 의해 영향을 받은 태아 및 신생아
P03.4,7,Fetus and newborn affected by caesarean delivery,제왕절개분만에 의해 영향을 받은 태아 및 신생아
P03.5,7,Fetus and newborn affected by precipitate delivery,급속분만에 의해 영향을 받은 태아 및 신생아
P03.6,7,Fetus and newborn affected by abnormal uterine contractions,이상자궁수축에 의해 영향을 받은 태아 및 신생아
P03.8,7,Fetus and newborn affected by other specified complications of labour and delivery,진통 및 분만의 기타 명시된 합병증에 의해 영향을 받은 태아 및 신생아
P03.9,7,"Fetus and newborn affected by complications of labour and delivery, unspecified",진통 및 분만의 상세불명의 합병증에 의해 영향을 받은 태아 및 신생아
P04,7,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,태반 또는 모유를 통해 전달된 해로운 작용에 의해 영향을 받은 태아 및 신생아
P04.0,7,"Fetus and newborn affected by maternal anaesthesia and analgesia in pregnancy, labour and delivery","임신, 진통 및 분만중 산모의 마취제 및 진통제에 의해 영향을 받은 태아 및 신생아"
P04.1,7,Fetus and newborn affected by other maternal medication,기타 산모의 투약에 의해 영향을 받은 태아 및 신생아
P04.2,7,Fetus and newborn affected by maternal use of tobacco,산모의 흡연에 의해 영향을 받은 태아 및 신생아
P04.3,7,Fetus and newborn affected by maternal use of alcohol,산모의 음주에 의해 영향을 받은 태아 및 신생아
P04.4,7,Fetus and newborn affected by maternal use of drugs of addiction,산모의 탐닉성 약물 복용에 의해 영향을 받은 태아 및 신생아
P04.5,7,Fetus and newborn affected by maternal use of nutritional chemical substances,산모의 영양제 복용에 의해 영향을 받은 태아 및 신생아
P04.6,7,Fetus and newborn affected by maternal exposure to environmental chemical substances,환경성 화학물질에 대한 산모의 노출에 의해 영향을 받은 태아 및 신생아
P04.8,7,Fetus and newborn affected by other maternal noxious influences,기타 산모의 해로운 작용에 의해 영향을 받은 태아 및 신생아
P04.9,7,"Fetus and newborn affected by maternal noxious influence, unspecified",상세불명의 산모의 해로운 작용에 의해 영향을 받은 태아 및 신생아
P05,7,Slow fetal growth and fetal malnutrition,태아성장지연 및 태아영양실조
P05.0,7,Light for gestational age,임신기간에 비해 저체중
P05.1,7,Small for gestational age,임신기간에 비해 과소크기
P05.2,7,Fetal malnutrition without mention of light or small for gestational age,임신기간에 비해 과소크기 또는 과소체중이라는 언급이 없는 태아영양실조
P05.9,7,"Slow fetal growth, unspecified",상세불명의 느린 태아성장
P07,7,"Disorders related to short gestation and low birth weight, NEC",달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애
P07.0,7,Extremely low birth weight,극단 저체중출산아
P07.1,7,Other low birth weight,기타 저체중출산아
P07.2,7,Extreme immaturity,초미숙 : 임신후 28주(196일) 미만
P07.3,7,Other preterm infants,기타 조산아 : 임신후 28주 이상 37주(196일 이상 259일) 미만
P08,7,Disorders related to long gestation and high birth weight,장기임신 및 고체중출산에 관련된 장애
P08.0,7,Exceptionally large baby,예외적으로 큰 아기
P08.1,7,Other heavy for gestational age infants,임신기간에 비해 기타 체중과다인 영아
P08.2,7,"Post-term infant, not heavy for gestational age","임신 기간에 비해 체중과다가 아닌, 만기후 영아"
P10,7,Intracranial laceration and haemorrhage due to birth injury,출산손상으로 인한 두개내 열상 및 출혈
P10.0,7,Subdural haemorrhage due to birth injury,출산손상으로 인한 경막하출혈
P10.1,7,Cerebral haemorrhage due to birth injury,출산손상으로 인한 뇌출혈
P10.2,7,Intraventricular haemorrhage due to birth injury,출산손상으로 인한 뇌실내출혈
P10.3,7,Subarachnoid haemorrhage due to birth injury,출산손상으로 인한 지주막하출혈
P10.4,7,Tentorial tear due to birth injury,출산손상으로 인한 뇌천막찢김
P10.8,7,Other intracranial laceration and haemorrhage due to birth injury,출산손상으로 인한 기타 두개내 열상 및 출혈
P10.9,7,Unspecified intracranial laceration and haemorrhage due to birth injury,출산손상으로 인한 상세불명의 두개내 열상 및 출혈
P11,7,Other birth injuries to central nervous  system,중추신경계통에 대한 기타 출산손상
P11.0,7,Cerebral oedema due to birth injury,출산손상으로 인한 뇌부종
P11.1,7,Other specified brain damage due to birth injury,출산손상으로 인한 기타 명시된 뇌손상
P11.2,7,Unspecified brain damage due to birth injury,출산손상으로 인한 상세불명의 뇌손상
P11.3,7,Birth injury to facial nerve,안면신경의 출산손상
P11.4,7,Birth injury to other cranial nerves,기타 뇌신경의 출산손상
P11.5,7,Birth injury to spine and spinal cord,척추 및 척수의 출산손상
P11.9,7,"Birth injury to central nervous system, unspecified",상세불명의 중추신경계통의 출산손상
P12,7,Birth injury to scalp,두피의 출산손상
P12.0,7,Cephalhaematoma due to birth injury,출산손상으로 인한 머리혈종
P12.1,7,Chignon due to birth injury,출산손상으로 인한 시뇽
P12.2,7,Epicranial subaponeurotic haemorrhage due to birth injury,출산손상으로 인한 두개외 건막하출혈
P12.3,7,Bruising of scalp due to birth injury,출산손상으로 인한 두피의 타박상
P12.4,7,Monitoring injury of scalp of newborn,감시로 인한 신생아 두피의 손상
P12.8,7,Other birth injury to scalp,두피의 기타 출산손상
P12.9,7,"Birth injury to scalp, unspecified",두피의 상세불명의 출산손상
P13,7,Birth injury to skeleton,골격의 출산손상
P13.0,7,Fracture of skull due to birth injury,출산손상으로 인한 두개골골절
P13.1,7,Other birth injuries to skull,두개골의 기타 출산손상
P13.2,7,Birth injury to femur,대퇴골의 출산손상
P13.3,7,Birth injury to other long bones,기타 긴뼈의 출산손상
P13.4,7,Fracture of clavicle due to birth injury,출산손상으로 인한 쇄골의 골절
P13.8,7,Birth injuries to other parts of skeleton,기타 골격 부분의 출산손상
P13.9,7,"Birth injury to skeleton, unspecified",상세불명의 골격의 출산손상
P14,7,Birth injury to peripheral nervous system,말초 신경계통의 출산손상
P14.0,7,Erb’s paralysis due to birth injury,출산손상으로 인한 에르브마비
P14.1,7,Klumpke’s paralysis due to birth injury,출산손상으로 인한 클룸프케마비
P14.2,7,Phrenic nerve paralysis due to birth injury,출산손상으로 인한 횡격막신경마비
P14.3,7,Other brachial plexus birth injuries,기타 상완신경총 출산손상
P14.8,7,Birth injuries to other parts of peripheral nervous system,말초신경계통의 기타 부분의 출산손상
P14.9,7,"Birth injury to peripheral nervous system, unspecified",상세불명의 말초신경계통의 출산손상
P15,7,Other birth injuries,기타 출산손상
P15.0,7,Birth injury to liver,간의 출산손상
P15.1,7,Birth injury to spleen,비장의 출산손상
P15.2,7,Sternomastoid injury due to birth injury,출산손상으로 인한 흉골유돌근의 손상
P15.3,7,Birth injury to eye,눈의 출산손상
P15.4,7,Birth injury to face,얼굴의 출산손상
P15.5,7,Birth injury to external genitalia,외부생식기의 출산손상
P15.6,7,Subcutaneous fat necrosis due to birth injury,출산손상으로 인한 피하지방괴사
P15.8,7,Other specified birth injuries,기타 명시된 출산손상
P15.9,7,"Birth injury, unspecified",상세불명의 출산손상
P20,7,Intrauterine hypoxia,자궁내저산소증
P20.0,7,Intrauterine hypoxia first noted before onset of labour,진통 시작 전에 처음으로 발견된 자궁내저산소증
P20.1,7,Intrauterine hypoxia first noted during labour and delivery,진통 및 분만 중 처음으로 발견된 자궁내저산소증
P20.9,7,"Intrauterine hypoxia, unspecified",상세불명의 자궁내저산소증
P21,7,Birth asphyxia,출산질식
P21.0,7,Severe birth asphyxia,중증 출산질식
P21.1,7,Mild and moderate birth asphyxia,경도 및 중등도의 출산질식
P21.9,7,"Birth asphyxia, unspecified",상세불명의 출산질식
P22,7,Respiratory distress of newborn,신생아의 호흡곤란
P22.0,7,Respiratory distress syndrome of newborn,신생아의 호흡곤란증후군
P22.1,7,Transient tachypnoea of newborn,신생아의 일과성 빠른호흡
P22.8,7,Other respiratory distress of newborn,신생아의 기타 호흡곤란
P22.9,7,"Respiratory distress of newborn, unspecified",신생아의 상세불명의 호흡곤란
P23,7,Congenital pneumonia,선천폐렴
P23.0,7,Congenital pneumonia due to viral agent,바이러스병원체로 인한 선천폐렴
P23.1,7,Congenital pneumonia due to chlamydia,클라미디아로 인한 선천폐렴
P23.2,7,Congenital pneumonia due to staphylococcus,포도구균으로 인한 선천폐렴
P23.3,7,"Congenital pneumonia due to streptococcus, group B",연쇄구균B군으로 인한 선천폐렴
P23.4,7,Congenital pneumonia due to Escherichia coli,대장균으로 인한 선천폐렴
P23.5,7,Congenital pneumonia due to Pseudomonas,슈도모나스로 인한 선천폐렴
P23.6,7,Congenital pneumonia due to other bacterial agents,기타 세균병원체로 인한 선천폐렴
P23.8,7,Congenital pneumonia due to other organisms,기타 병원체로 인한 선천폐렴
P23.9,7,"Congenital pneumonia, unspecified",상세불명의 선천폐렴
P24,7,Neonatal aspiration syndromes,신생아흡인증후군
P24.0,7,Neonatal aspiration of meconium,신생아태변흡인
P24.1,7,Neonatal aspiration of amniotic fluid and mucus,신생아의 양수 및 점액 흡인
P24.2,7,Neonatal aspiration of blood,신생아혈액흡인
P24.3,7,Neonatal aspiration of milk and regurgitated food,신생아의 우유 및 역류된 음식 흡인
P24.8,7,Other neonatal aspiration syndromes,기타 신생아흡인증후군
P24.9,7,"Neonatal aspiration syndrome, unspecified",상세불명의 신생아흡인증후군
P25,7,Interstitial emphysema and related conditions originating in the perinatal period,출생전후기에 기원한 간질성 폐기종 및 관련 병태
P25.0,7,Interstitial emphysema originating in the perinatal period,출생전후기에 기원한 간질성 폐기종
P25.1,7,Pneumothorax originating in the perinatal period,출생전후기에 기원한 기흉
P25.2,7,Pneumomediastinum originating in the perinatal period,출생전후기에 기원한 기종격
P25.3,7,Pneumopericardium originating in the perinatal period,출생전후기에 기원한 기심낭
P25.8,7,Other conditions related to interstitial emphysema originating in the perinatal period,출생전후기에 기원한 간질성 폐기종에 관련된 기타 병태
P26,7,Pulmonary haemorrhage originating in the perinatal period,출생전후기에 기원한 폐출혈
P26.0,7,Tracheobronchial haemorrhage originating in the perinatal period,출생전후기에 기원한 기관기관지출혈
P26.1,7,Massive pulmonary haemorrhage originating in the perinatal period,출생전후기에 기원한 심한 폐출혈
P26.8,7,Other pulmonary haemorrhage originating in the perinatal period,출생전후기에 기원한 기타 폐출혈
P26.9,7,Unspecified pulmonary haemorrhage originating in the perinatal period,출생전후기에 기원한 상세불명의 폐출혈
P27,7,Chronic respiratory disease originating in the perinatal period,출생전후기에 기원한 만성 호흡기질환
P27.0,7,Wilson-Mikity syndrome,윌슨-미키티증후군
P27.1,7,Bronchopulmonary dysplasia originating in the perinatal period,출생전후기에 기원한 기관지폐형성이상
P27.8,7,Other chronic respiratory disease originating in the perinatal period,출생전후기에 기원한 기타 만성 호흡기질환
P27.9,7,Unspecified chronic respiratory disease originating in the perinatal period,출생전후기에 기원한 상세불명의 만성 호흡기질환
P28,7,Other respiratory conditions originating in the perinatal period,출생전후기에 기원한 기타 호흡기병태
P28.0,7,Primary atelectasis of newborn,신생아의 원발성 무기폐
P28.1,7,Other and unspecified atelectasis of newborn,신생아의 기타 및 상세불명의 무기폐
P28.2,7,Cyanotic attacks of newborn,신생아의 청색증 발작
P28.3,7,Primary sleep apnoea of newborn,신생아의 원발성 수면무호흡
P28.4,7,Other apnoea of newborn,신생아의 기타 무호흡
P28.5,7,Respiratory failure of newborn,신생아의 호흡부전
P28.8,7,Other specified respiratory conditions of newborn,신생아의 기타 명시된 호흡병태
P28.9,7,"Respiratory condition of newborn, unspecified",신생아의 상세불명의 호흡병태
P29,7,Cardiovascular disorders originating in the perinatal period,출생전후기에 기원한 심혈관장애
P29.0,7,Neonatal cardiac failure,신생아심부전
P29.1,7,Neonatal cardiac dysrhythmia,신생아심장리듬장애
P29.2,7,Neonatal hypertension,신생아고혈압
P29.3,7,Persistent fetal circulation,태아순환지속
P29.4,7,Transient myocardial ischaemia of newborn,신생아의 일과성 심근허혈
P29.8,7,Other cardiovascular disorders originating in the perinatal period,출생전후기에 기원한 기타 심혈관장애
P29.9,7,"Cardiovascular disorders originating in the perinatal period, unspecified",출생전후기에 기원한 상세불명의 심혈관장애
P35,7,Congenital viral diseases,선천성 바이러스질환
P35.0,7,Congenital rubella syndrome,선천성 풍진증후군
P35.1,7,Congenital cytomegalovirus infection,선천성 거대세포바이러스감염
P35.2,7,Congenital herpesviral [herpes simplex] infection,선천성 헤르페스바이러스 [단순헤르페스] 감염
P35.3,7,Congenital viral hepatitis,선천성 바이러스간염
P35.8,7,Other congenital viral diseases,기타 선천성 바이러스질환
P35.9,7,"Congenital viral disease, unspecified",상세불명의 선천성 바이러스질환
P36,7,Bacterial sepsis of newborn,신생아의 세균패혈증
P36.0,7,"Sepsis of newborn due to streptococcus, group B",연쇄구균B군으로 인한 신생아패혈증
P36.1,7,Sepsis of newborn due to other and unspecified streptococci,기타 및 상세불명의 연쇄구균으로 인한 신생아패혈증
P36.2,7,Sepsis of newborn due to Staphylococcus aureus,황색 포도구균으로 인한 신생아패혈증
P36.3,7,Sepsis of newborn due to other and unspecified staphylococci,기타 및 상세불명의 포도구균으로 인한 신생아패혈증
P36.4,7,Sepsis of newborn due to Escherichia coli,대장균으로 인한 신생아패혈증
P36.5,7,Sepsis of newborn due to anaerobes,무산소균으로 인한 신생아패혈증
P36.8,7,Other bacterial sepsis of newborn,신생아의 기타 세균패혈증
P36.9,7,"Bacterial sepsis of newborn, unspecified",신생아의 상세불명의 세균패혈증
P37,7,Other congenital infectious and parasitic diseases,기타 선천성 감염 및 기생충질환
P37.0,7,Congenital tuberculosis,선천결핵
P37.1,7,Congenital toxoplasmosis,선천톡소포자충증
P37.2,7,Neonatal (disseminated) listeriosis,신생아 (파종성) 리스테리아증
P37.3,7,Congenital falciparum malaria,선천성 열대열말라리아
P37.4,7,Other congenital malaria,기타 선천말라리아
P37.5,7,Neonatal candidiasis,신생아칸디다증
P37.8,7,Other specified congenital infectious and parasitic diseases,기타 명시된 선천성 감염 및 기생충질환
P37.9,7,"Congenital infectious and parasitic disease, unspecified",상세불명의 선천성 감염 또는 기생충질환
P38,7,Omphalitis of newborn with or without mild haemorrhage,경도의 출혈을 동반하거나 동반하지 않은 신생아배꼽염
P39,7,Other infections specific to the perinatal period,출생전후기에 특이한 기타 감염
