성분코드,성분명(한),성분명(영)
M255330,미결정셀룰로오스M101,Microcrystalline Cellulose (M101)
M255332,오파드라이II노란색(85F42146),OPADRY II 85F42146 YELLOW
M255339,오파드라이노란색 85F42086,OPADRY 85F42086 YELLOW 
M255341,판타젝트세트,
M255342,옥솔라민시트르산염,Oxolamine Citrate
M255345,"2-클로로-4,6-디메톡시-1,3,5-트리아진","2-Chloro-4,6-Dimethoxy-1,3,5-Triazine"
M255353,조합향료(TF-PE46-KB-M01),Flavor TF-PE46-KB-M01
M255354,조합향료(TF-PFT-02),Flavor TF-PFT-02
M255355,조합향료(TF-PFT-03),Flavor TF-PFT-03
M255360,알릴이소프로필아세틸우레아,Allylisopropylacetylurea
M255368,3-클로로-2-메틸아닐린,3-Chloro-2-Methylaniline
M255372,4-브로모-2-메틸-부텐,4-Bromo-2-Methyl-Butene
M255381,파우더향,Powder Flavor
M255386,오파드라이흰색(YS-1-7040),OPADRY YS-1-7040 WHITE
M255387,비씨케이,
M255399,조합향료(Ice Power 108),Flavor Ice Power 108
M255400,조합향료(Love Berry AR61387),Flavor Love Berry AR61387
M255402,황산마그네슘삼수화물,Magnesium Sulfate Trihydrate
M255409,벨크로테이프,Velcro Tape
M255410,트라마돌염산염,Tramadol Hydrochloride
M255412,오파드라이노란색(OY-S-8475),OPADRY OY-S-8475 YELLOW
M255414,"적색3호 또는 적색3호, 황색203호 또는 적색3호, 청색1호",
M255416,조합향료(Floriental 5P03127),Flavor Floriental 5P03127
M255423,조합향료(TUNH4721),Flavor TUNH4721
M255430,민트향분말(HF-18408),Mint Flavor Powder HF 18408
M255434,덱스란소프라졸,Dexlansoprazole
M255435,히프로멜로오스캡슐,Hypromellose Capsule
M255442,부직포(물방울무늬),Nonwoven Fabric Printed Water Drop
M255443,부직포(체크무늬),Nonwoven Fabric (Check Pattern)
M255451,조합향료(키위199019),Flavor Kiwi 199019
M255454,오파드라이II분홍색(85F440010),OPADRY II 85F440010 PINK
M255459,피리티온아연 액,Pyrithione Zinc Solution
M255471,유자분말향(C91041),Citron Powder Flavor C91041
M255478,플루오로니트로벤젠,Fluoronitrobenzene
M255479,이스프레이흰색(GAIIEKRPB01A),EASPRAY GAIIEKRPB01A WHITE
M255482,조합향료(Green Floral J.62063),Flavor Green Floral J.62063
M255488,오파드라이AMB빨간색(80W55365),OPADRY AMB 80W55365 RED
M255489,오파드라이주황색(OY-LS-24913),OPADRY OY-LS-24913 ORANGE
M255495,안과용침,"Ophthalmic, Needle"
M255498,클로로에틸에테르,Chloroethyl Ether
M255505,9-아미노아크리딘염산염수화물,9-Aminoacridine Hydrochloride Hydrate
M255510,조합향료(Soap HP-48209),Flavor Soap HP-48209
M255513,조합향료(AR40037),Flavor AR40037
M255537,조합향료(40246),Flavor 40246
M255552,슈가마덱스나트륨,Sugammadex Sodium
M255554,에토필린니코티네이트,Etofylline Nicotinate
M255557,조합향료(F91868),Flavor F91868
M255559,고흡수시트,High Absorbant Sheet
M255566,조합향료(THJH 120632),Flavor THJH 120632
M255582,7-아미노-3-비닐-3-세펨-4-카르복실산,7-Amino-3-Vinyl-3-Cephem-4-Carboxylic Acid
M255585,빵가루,Bread Crumb
M255593,D-레스메트린,D-Resmethrin
M255594,조합향료(HP-802839),Flavor HP-802839
M255596,다이머산,Dimer Acid
M255597,아로니아베리향(HF-61914),Aronia Berry Flavor HF-61914
M255598,CDCH,"(Z)-7-Chloro-2-(2,2-Dimethylcyclopropane Carboxamido)-2-Heptanoic Aicd"
M255609,박리지(폴리에틸렌테레프탈레이트),Peeling Paper (Polyethylene Terephthalate)
M255612,페노피브릭산,Fenofibric Acid
M255614,DO2011추출물,
M255615,조합향료(헬씨345),Flavor Heanthy 345
M255628,에톡실레이티드코코알킬아민,Ethoxylated Coco Alkyl Amine
M255641,조합향료(448380),Flavor 448380
M255652,오파드라이노란색(03B52165),OPADRY 03B52165 YELLOW
M255655,라푸티딘,Lafutidine
M255659,조합향료(TF-LF-13),Flavor TF-LF-13
M255660,오파드라이II파란색(85F20694),OPADRY II 85F20694 BLUE
M255661,오파드라이II노란색(85F32004),OPADRY II 85F32004 YELLOW
M255663,오파드라이II흰색(85F48105),OPADRY II 85F48105 WHITE
M255665,오파드라이II파란색(85F60751),OPADRY II 85F60751 BLUE
M255672,라벤더향(HP-89779),Lavender Flavor HP-89779
M255673,아크릴이즈노란색(93O42115),ACRYL-EZE 93O42115 YELLOW
M255675,프로스위트향(MM50),Prosweet N&A FL PWD
M255676,페퍼민트두라롬향(860172 TD1194B),Peppermint Durarome Flavor 860172 TD1194B
M255701,조합향료(Giselle 2000 Mod 2(내츄럴라벤다향)),Flavor Giselle 2000 Mod 2
M255702,조합향료(Nymphya Aroma Y(아로마향)),Flavor Nymphya Aroma Y (Aroma)
M255704,돼지폐,Pig Lung
M255706,오파드라이주황색(03B63246),OPADRY 03B63246 ORANGE
M255713,에베로리무스,Everolimus
M255725,조합향료(AR80653),Flavor AR80653
M255726,아바멕틴,Abamectin
M255735,모노플루오로인산나트륨,Sodium Monofluorophosphate
M255740,FKA A54528,FKA A54528
M255759,오파드라이II주황색(85G43091),OPADRY II 85G43091 ORANGE
M255761,오파드라이노란색(03B62869),OPADRY 03B62869 YELLOW
M255764,페퍼민트향(P-27005),Peppermint Flavor P-27005
M255772,비트레드(NK300),Beet Red NK300
M255773,치자청색소(H-9137),Gardenia Blue Colorant H-9137
M255774,치자황색소(H-9214),Gardenia Yellow Colorant H-9214
M255780,조합향료(Fruit Punch AR95306),Flavor Fruit Punch AR95306
M255783,복숭아쥬스,Peach Juice
M255790,아크릴이즈주황색(93O23792),ACRYL-EZE 93O23792 ORANGE
M255802,오파드라이II파란색(32B10817),OPADRY II 32B10817 BLUE
M255806,세프라딘수화물·L-아르기닌,Cefradine Hydrate·L-Arginine
M255808,S-암로디핀베실산염,S-Amlodipine Besylate
M255809,아크릴중합체용액(Duro-Tak 87-4098),Acrylic Polymer Solution (Duro-Tak 87-4098
M255810,아크릴중합체용액(Duro-Tak 87-2353),Acrylic Polymer Solution (Duro-Tak 87-2353)
M255814,오파드라이클리어(YS-1R-7006),OPADRY YS-1R-7006 CLEAR
M255815,오파드라이빨간색(YS-1R-1719),OPADRY YS-1R-1719 RED
M255816,오파드라이회색(Y-5R-7524),OPADRY Y-5R-7524 GRAY
M255819,토코페롤아세테이트 2배산,Tocopherol Acetate Powder 50%
M255822,면사(10번수단사),Cotton String (10 Single Yarn)
M255823,실고무(40번수단사),Rubber Thread (40-Single Yarn)
M255835,카카오혼합색소-지,Cacao Mixing Color-G
M255846,씨엠-오,CM-O
M255847,케라틴-피이피-에스,Keratin-PEP-S
M255851,에스더블유디-1264케이,SWD-1265K
M255863,오파드라이II분홍색(85F640000),OPADRY II 85F640000 PINK
M255864,프로피베린염산염,Propiverine Hydrochloride
M255872,세프타지딤염산염,Ceftazidime Hydrochloride
M255901,조합향료(TF-PCCO-03),Flavor TF-PCCO-03
M255902,조합향료(TF-P46WH-01),Flavor TF-P46WH-01
M255905,나탈리주맙,Natalizumab
M255931,조합향료(Take AR 75940),Flavor Take AR 75940
M255939,사카린산칼슘수화물,Calcium Saccharate Hydrate
M255940,조합향료(Relaxing Scent 183512B(아로마향)),Flavor Relaxing Scent 183512B (Aroma)
M255945,후로랄부케(SP-42852),Floral Bouquet SP-42852
M255947,사람응고성단백질,Clottable Protein
M255951,조합향료(ARMOA SAGE MINT),Flavor Armoa Sage Mint
M255958,조합향료(TF-PPFT-01),Flavor TF-PPFT-01
M255960,폴리우레탄폼조성액,Polyurethane Foam Solution
M255961,폴리에틸렌망이한쪽면에부착된부직패드,Nonwoven Pad (Polyethylene Net Side)
M255973,마유,Hempseed Oil
M255976,데카글리세릴펜타스테아레이트,Decaglyceryl Pentastearate
M255986,BOC-L-발린,BOC-L-Valine
M256000,조합향료(에이치씨레몬밤230-167),Flavor HC Lemon Balm 230-167
M256012,조합향료(Fresh Herbal Floral 15P03405),Flavor Fresh Herbal Floral 15P03405
M256036,바실루스나토엔티주균 가루,Bacillus Natto NT Powder
M256039,미결정셀룰로오스(Avicel PH 200),Microcrystalline Cellulose (Avicel PH 200)
M256042,조합향료(TF-BSPP-01),Flavor TF-BSPP-01
M256043,알로에민트,Aloe Mint
M256044,조합향료(HP-803806),Flavor HP-803806
M256045,조합향료(TF-JPFT-01),Flavor TF-JPFT-01
M256052,메타아크릴산디메틸아미노에틸·메타아크릴산메틸공중합체(유드라짓E),Dimethylaminoethyl Methacrylate·Methyl Methacrylate Copolymer (Eudragit E)
M256059,콜산,Cholic Acid
M256064,오파드라이파란색(03B60891),OPADRY 03B60891 BLUE
M256081,메톡시드나트륨,Sodium Methoxide
M256095,이지코트,
M256112,오파드라이II주황색(85F23452),OPADRY II 85F23452 ORANGE
M256115,룩소리티닙인산염,Ruxolitinib Phosphate
M256117,변성에탄올(환원단계),Modified Ethanol (Reduction Step)
M256118,변성에탄올(분리단계),Modified Ethanol (Separation Step)
M256119,변성에탄올(정제단계),Modified Ethanol (Purification Step)
M256125,스위트허브향(HF-92304),Sweet Herb Flavor (HF-92304)
M256135,프린트잉크(아발론틸3105),Print Ink (3105)
M256136,폴리에틸렌필름 S-NB,Polyethylene Film (S-NB)
M256140,아쿠아리우스 프라임 비에이피 717001 블루,Aquarius Prime BAP717001 BLUE
M256141,올메사탄실렉세틸,Olmesartan Cilexetil
M256142,브롬화수소산-피리딘,Hydrobromic Acid-Pyridine
M256145,알파-피콜린,Alpha-Picoline
M256149,7-아미노데스아세톡시세팔로스포란산,7-Aminodesacetoxycephalosporanic Acid
M256158,오파드라이II빨간색(85G45011),OPADRY II 85G45011 RED
M256159,페노피브레이트콜린,Choline Fenofibrate
M256164,오파드라이분홍색(03B640001),OPADRY 03B640001 PINK
M256168,스피룰리나색소,Spirulina Colorant
M256171,조합향료(New Breathtaking G1),Flavor New Breathtaking G1
M256175,폴리에틸렌필름V-NB,Polyethylene Film (V-NB)
M256177,오파드라이노란색(03F32518),OPADRY 03F32518 YELLOW
M256180,조합향료(TF-PTSF-B-01),Flavor TF-PTSF-B-01
M256181,조합향료(TF-PTSM-C-01),Flavor TF-PTSM-C-01
M256187,오파드라이II갈색(85F465000),OPADRY II 85F465000 BROWN
M256188,편백유,Chamaecyparis Obtusa Oil
M256191,콘드로이틴설페이트나트륨,Sodium Chondroitin Sulfate
M256195,엠보싱이있는흰색의탈지면,Absorbent Cotton Coated Embossing (White)
M256197,감탄닌,Persimmon Tannin
M256198,오파드라이II회색(85F27644),OPADRY II 85F27644 GRAY
M256200,오파드라이분홍색(OY-6957),OPADRY OY-6957 PINK
M256201,오파드라이노란색(OY-02B22764),OPADRY OY-02B22764 YELLOW
M256203,디클로페낙디에틸아민,Diclofenac Diethylamine
M256206,에리트로마이신 장용피입자,Erythromycin Enteric-Coated Granules
M256211,플로로글루시놀수화물,Phloroglucinol Hydrate
M256212,리소짐염산염,Lysozyme Hydrochloride
M256213,오파드라이흰색(YS-1-7706-G),OPADRY YS-1-7706-G WHITE
M256219,N-메틸아닐린,N-Methylanilline
M256222,조합향(FIXATIVE 30-5P04372),Flavor FIXATIVE 30-5P04372
M256224,폴리에스테르필름(청색),Polyester Film (Blue)
M256225,실리콘공중합체,Silicone Copolymer
M256246,"7-아미노-3-[(2,5-디히드로-6-히드록시-2-메틸-5-옥소-as-트리아진-3-일)-티오메틸]-3-세펨-4-카르복실산","7-Amino-3-[(2,5-Dihydro-6-Hydroxy-2-Methyl-5-Oxo-As-Triazin-3-Yl)-Thiomethyl]-3-Cephem-4-Carboxylic Acid"
M256250,살리실산디에틸아민,Diethylamine Salicylate
M256252,흑액심,
M256261,레보폴리네이트칼슘오수화물,Calcium Levofolinate Pentahydrate
M256262,에스시탈로프람,Escitalopram
M256263,염기성부틸레이티드메타아크릴레이트공중합체,Basic Butylated Methacrylate Copolymer
M256264,민트향(SN027513),Mint Flavor SN 027513
M256265,디에틸세바케이트,Diethyl Sebacate
M256266,밀착포(일체형),Adhensive Fabric (Integrated)
M256271,오파드라이노란색(02A22352),OPADRY 02A22352 YELLOW
M256275,카르비도파수화물,Carbidopa Hydrate
M256276,글루타티온(환원형),Glutathione (Reduced)
M256281,폴리옥시에틸렌알킬(12-14)에테르,Polyoxyethylene Alkyl (12-14) Ether
M256285,오파드라이II보라색(85F600000),OPADRY II 85F600000 PURPLE
M256300,오딧세이퓨어바디향,Odyssey Pure Body Flavor
M256301,조합향료(Perfume HP-804127),Flavor Perfume HP-804127
M256304,조합향료(Masculine 13279),Flavor Masculine 13279
M256307,폴리옥시에틸렌피마자유,Polyoxyethylene Castor Oil
M256311,오파드라이흰색(OY-S-28924),OPADRY OY-S-28924 WHITE
M256313,이소소르비드이질산염,Isosorbide Dinitrate
M256318,오파드라이II파란색(85F20775),OPADRY II 85F20775 BLUE
M256321,데실올레에이트,Decyl Oleate
M256323,스테아트리모늄염화물,Steartrimonium Chloride
M256324,세트리모늄염화물,Cetrimonium Chloride
M256328,베헨트리모늄염화물,Behentrimonium Chloride
M256332,폴리옥시에틸렌올레일에테르,Polyoxyethylene Oleyl Ether
M256333,스테아라미드디이에이,Stearamide DEA
M256335,세라미드(03),Ceramide 03
M256337,조합향료(KAM 21963C),Flavor KAM 21963C
M256340,조합향료(메론향 FAC-2156),Flavor Melon FAC-2156
M256345,로즈힙유,Rose Hip Oil
M256347,폴리옥시에틸렌세틸에테르(20E.O),Polyoxyethylene Cetylether (20E.O)
M256348,폴리옥시에틸렌세틸에테르(12E.O),Polyoxyethylene Cetylether (12E.O)
M256355,디옥틸말레산염,Dioctyl Maleate
M256358,티옥트산트로메타민,Thioctic Acid Tromethamine
M256363,메틸메티오닌설포늄염화물,Methylmethionine Sulfonium Chloride
M256367,폴리옥시에틸렌글리세릴모노스테아레이트,Polyoxyethylene Glyceryl Monostearate
M256368,2-피롤리돈-5-카르복실산,2-Pyrrolidone-5-Carboxylic Acid
M256372,폴리에틸렌글리콜모노스테아레이트,Polyethylene Glycol Monostearate
M256376,o-페닐페놀,o-Phenylphenol
M256378,농축콜레칼시페롤 과립,Cholecalciferol Concentrate Granules
M256379,디스테아릴디모늄염화물,Distearyldimonium Chloride
M256384,티몰롤말레산염,Timolol Maleate
M256386,글리시리진산이칼륨,Dipotassium Glycyrrhizinate
M256390,사과향(H-82969),Apple Flavor H-82969
M256396,조합향료(TF-LF-15),Flavor TF-LF-15
M256397,조합향료(TF-YG-02),Flavor TF-YG-02
M256400,스테아로일메틸타우린나트륨,Sodium Methyl Stearoyl Taurate
M256401,C14-16올레핀설폰산나트륨,C14-16 Sodium Olefin Sulfonate
M256407,톨터로딘-L-타르타르산염,Tolterodine-L-Tartrate
M256416,2-알킬-N-카복시메틸-N-히드록시에틸이미다졸리늄베타인,2-Alkyl-N-Carboxymethyl-N-Hydroxyethyl Imidazolium Betaine
M256417,구아히드록시프로필트리모늄염화물,Guar Hydroxypropyltrimonium Chloride
M256418,마카데미아넛유,Macadamia Nuts Oil
M256420,오파드라이FX은색(62W28547),OPADRY FX 62W28547 SILVER
M256430,천연블루베리향(HF-62041),Natural Blueberry Flavor HF-62041
M256431,천연사과향(HF-62042),Natural Apple Flavor HF-62042
M256432,프로글루메타신말레산염,Proglumetacin Dimaleate
M256433,아세틸트리부틸시트르산염,Acetyl Tributyl Citrate
M256434,아카시아향(HP-804278),Acacia Flavor HP-804278
M256438,압착펄프판,Pressed Pulp Plate
M256444,조합향료(Perfum Fair 7779 Mod 1),Flavor Perfum Fair 7779 Mod 1
M256451,구아야줄렌,Guaiazulene
M256454,조합향료(Herb Bouquet 121131),Flavor Herb Bouquet 121131
M256468,폴리에틸렌글리콜모노올레에이트,Polyethylene Glycol Monooleate
M256472,피로황산나트륨,Sodium Pyrosulfate
M256476,조합향료(도라지향),Flavor Platycodon
M256477,오파드라이분홍색(03B44053),OPADRY 03B44053 PINK
M256480,이스콜흰색(EABL55EKRPB01B),EASCOL EABL55EKRPB01B WHITE
M256482,프레드니솔론헤미숙시네이트,Prednisolone Hemisuccinate
M256486,라즈베리쥬스,Raspberry Juice
M256487,조합향료(베리믹스향07B00604),Flavor Berry Mix 07B00604
M256488,폴리에틸렌가루,Polyethylene Powder
M256491,고중합메틸폴리실록산,Highly Polymerized Methyl Polysiloxane
M256492,폴리옥시에틸렌노닐페닐에테르,Polyoxyethylene Nonylphenyl Ether
M256493,이스프레이(GAIIEKR14C),EASPRAY GAIIEKR14C
M256499,폴리에틸렌글리콜,Polyethylene Glycol
M256500,에틸렌글리콜,Ethylene Glycol
M256504,조합향료(MAKE UP A71162),Flavor Make Up A71162
M256505,비스모데깁,Vismodegib
M256514,티오글리콜산80%,Thioglycolic Acid 80%
M256515,규산마그네슘나트륨,Sodium Magnesium Silicate
M256520,디메티콘코폴리올,Dimethicone Copolyol
M256521,N-라우로일-L-글루탐산나트륨,Sodium N-Lauroyl-L-Glutamate
M256524,피로나리딘인산염,Pyronaridine Phosphate
M256535,폴리에틸렌스테아릴에테르,Polyethylene Stearyl Ether
M256538,이스프레이흰색(GMIEKRPB01A),EASPRAY GMIEKRPB01A WHITE
M256539,아메지늄메틸황산염,Amezinium Methylsulfate
M256543,견운모,Sericite
M256546,오파드라이흰색(OY-S-7223),OPADRY OY-S-7223 WHITE
M256563,글루탐산,Glutamic Acid
M256567,PTO,"2-[4R,6S]-2,2-Dimethyl-6-(1-Phenyl-1H-Tetrazole-5-Sulfonylmethyl)-[1,3]-Dioxan-4-Yl]-N-Methoxy-N-Methyl-Acetamide"
M256568,PAL,N-[4-(4-Fluorophenyl)-5-Formyl-6-Isopropyl-Pyrimidin-2-Yl]-N-Methyl-Methane Sulfonamide
M256578,피피지-4-세테스-40,PPG-4-Ceteth-40
M256584,애플리버셉트,Aflibercept
M256585,엠에이피(1베타-메틸레놀포스페이트),Map(1Beta-Methylenolphosphate)
M256586,메로페넴사이드체인,Meropenem Side Chain
M256587,몰린돈염산염,Molindone Hydrochloride
M256591,벤프로페린인산염,Benproperine Phosphate
M256592,미도드린염산염,Midodrine Hydrochloride
M256596,오파드라이II갈색(85F66980),OPADRY II 85F66980 BROWN
M256597,폴리옥시에틸렌옥틸페닐에테르,Polyoxyethylene Octyphenyl Ether
M256601,베포타스틴살리실산염,Bepotastine Salicylate
M256607,에피나스틴염산염,Epinastine Hydrochloride
M256608,아프로티닌 용액,Aprotinin Solution
M256613,조합향료(TF-PTSO-A-01),Flavor TF-PTSO-A-01
M256614,염산(분석용),Hydrochloric Acid (Analytical)
M256618,글리피지드,Glipizide
M256622,비타민E폴리에틸렌글리콜숙시네이트,Vitamin E Polyethylene Glycol Succinate
M256627,인산수소이나트륨칠수화물,Disodium Hydrogen Phosphate Heptahydrate
M256631,알킬(C12-15)벤조에이트,Alkyl (C12-15) Benzoate
M256638,폴리우레탄필름(황갈색),Polyurethane Film (Light Brown)
M256640,락트산나트륨50%,Sodium Lactate 50%
M256647,건조토코페롤아세테이트50%,Dried Tocopherol Acetate 50%
M256651,조합향료(Muguet 133029),Flavor Muguet 133029
M256662,가도펜테틴산디메글루민,Gadopentetate Dimeglumine
M256664,아토르바스타틴칼슘수화물,Atorvastatin Calcium Hydrate
M256668,오파드라이(85G44100),OPADRY 85G44100
M256672,비페닐디메틸디카르복실레이트,Biphenyl Dimethyl Dicarboxylate
M256675,스테아랄코늄염화물,Stearalkonium Chloride
M256678,라우로일메틸타우린나트륨,Sodium Lauroyl Methyl Taurate
M256679,오파드라이주황색(85F43097),OPADRY 85F43097 ORANGE
M256680,FIXATIVE 30-5P04372,FIXATIVE 30-5P04372
M256681,오파드라이AMB노란색(80W92755),OPADRY AMB 80W92755 YELLOW
M256682,아크릴이즈흰색(93O18508),ACRYL-EZE 93O18508 WHITE
M256684,모노앤디글리세리드,Mono And Di-glycerides
M256685,리놀레오일폴리옥실글리세리드,Linoleoyl Polyoxylglycerides
M256694,부틸렌글리콜,Butylene Glycol
M256701,알킬트리메틸암모늄염화물,Alkyltrimethylammonium Chloride
M256702,조합향료(Sexy166),Flavor Sexy166
M256703,조합향료(Love&beauty80),Flavor Love&beauty80
M256706,파시레오타이드디아스파르트산염,Pasireotide Diaspartate
M256709,디시클로민염산염,Dicyclomine Hydrochloride
M256714,배산벤조산,Benzoic acid. precipitated calcium carbonate
M256715,배산용뇌,Borneol Precipitated Calcium Carbonate
M256716,배산용각산향,Ryukakusan Flavor Precipitated Calcium Carbonate
M256717,조벤포티아민,Crude Benfotiamine
M256718,오파드라이노란색(85W42174),OPADRY 85W42174 YELLOW
M256720,"N,N-디메틸에틸아민","N,N-Dimethylethylamine"
M256733,오파드라이노란색(03B42015),OPADRY 03B42015 YELLOW
M256734,"2-메르캅토-1,3,4-티아디아졸","2-Mercapto-1,3,4-Thiadiazole"
M256735,1H-테트라졸-1-아세트산,1H-Tetrazole-1-Acetic Acid
M256737,아클라토늄나파디실산염,Aclatonium Napadisilate
M256746,디플로라손아세테이트,Diflorasone Acetate
M256747,조합향료(Freesia 950),Flavor Freesia 950
M256749,이산화티탄·마이카,Titanium Dioxide·Mica
M256751,히드로라이즈드콘키올린프로테인,Hydrolyzed Conchiolin Protein
M256767,오파드라이흰색(Y-5-18024-A),OPADRY Y-5-18024-A WHITE
M256772,알리트레티노인,Alitretinoin
M256774,세팔렉신수화물,Cefalexin Hydrate
M256775,유리나스타틴,Ulinastatin
M256778,마쉐리 에이 유엘-40197,
M256784,조합향료(Shampoo 31-5P05005),Flavor Shampoo 31-5P05005
M256789,폴리옥시에틸렌올레일에테르인산,Polyoxyethylene Oleyl Ether Phosphate
M256794,조합향료(Foam Cleansing HP-316157),Flavor Foam Cleansing HP-316157
M256795,데가렐릭스,Degarelix
M256801,디히드록시디부틸에테르,Dihydroxydibutyl Ether
M256804,조합향료(RY-004335),Flavor RY-004335
M256806,조합향료(P-61907),Flavor P-61907
M256820,스티렌·피브이피공중합체,Styrene·PVP Copolymer
M256825,피브이피·브이에이공중합체,PVP·VA Copolymer
M256827,오파드라이II파란색(85G40503),OPADRY II 85G40503 BLUE
M256834,폴리에틸렌필름(초록색),Polyethylene Film (Green)
M256843,테노포비르디소프록실푸마르산염,Tenofovir Disoproxil Fumarate
M256848,덱사메타손포스페이트이나트륨,Dexamethasone Disodium Phosphate
M256854,이반드론산나트륨수화물,Ibandronate Sodium Monohydrate
M256855,발라시클로비르염산염수화물,Valaciclovir Hydrochloride Hydrate
M256865,오파드라이(OY-C-7000A),OPADRY OY-C-7000A
M256867,오파드라이갈색(03B66936),OPADRY 03B66936 BROWN
M256870,조합향료(Perfume FKA00228),Flavor Perfume FKA00228
M256871,조합향료(Hydro Skin FI3012778),Flavor Hydro Skin FI3012778
M256889,조합향료(Silky Hair 144),Flavor Silky Hair 144
M256891,조합향료(TF-P46E-01),Flavor TF-P46E-01
M256892,조합향료(TF-P46MH-02),Flavor TF-P46MH-02
M256902,폴리에틸렌글리콜스테아릴에테르,Polyethylene Glycol Stearylether
M256907,조합향료(Teen 203 Korea),Flavor Teen 203 Korea
M256908,트리규산마그네슘수화물,Magnesium Trisilicate Hydrate
M256909,조합향료(카모마일향),Flavor Chamomile
M256916,피복철사,Steel wire Coated
M256917,이소소르비드일질산염90%,Isosorbide Mononitrate 90%
M256920,아토르바스타틴수화물,Atorvastatin Hydrate
M256936,테레빈유,Turpentine Oil
M256941,도네페질염산염수화물,Donepezil Hydrochloride Hydrate
M256946,조프레가발린,Crude Pregabalin
M256948,해바라기씨유,Sunflower Seed Oil
M256973,폴리에틸렌필름(녹차향),Polyethylene Film (Green Tea Flavor)
M256991,오파드라이주황색(85F43071),OPADRY 85F43071 ORANGE
M256996,아크릴이즈 흰색(93A18579),ACRYL-EZE 93A18579 WHITE
M256999,발라시클로비르염산염,Valaciclovir Hydrochloride
M257005,락트산미리스틸,Myristyl Lactate
M257025,브렌툭시맙베도틴,Brentuximab Vedotin
M257027,오파드라이빨간색(03F45063),OPADRY 03F45063 RED
M257035,오파드라이노란색(85F12380),OPADRY 85F12380 YELLOW
M257036,조합향료(green tea HP-804519),Flavor Green Tea HP-804519
M257047,조합향료(shampoo AK-35816),Flavor shampoo AK-35816
M257058,디히드로콜레스테롤,Dihydrocholesterol
M257061,반데타닙,Vandetanib
M257067,폴리옥시에틸렌폴리프로필렌라놀린,Polyoxyethylene Polypropylene Lanolin
M257070,폴리옥시에틸렌세에테르,
M257071,스테아리모늄염화물,Stearimonium Chloride
M257077,비퀴딜염산염,Viquidil Hydrochloride
M257078,바이오디젤혼합액,Biodiesel Mixed Solution
M257091,스펙트라콜초록색(800006),Spectracol Green 800006
M257095,이소소르비드일질산염,Isosorbide Mononitrate
M257097,피톤치드,Phytoncide
M257098,디에틸아미노에틸테오필린염산염,Diethylaminoethyltheophylline Hydrochloride
M257108,카프릴릭·카프릭트리글리세리드,Caprylic·Capric Triglyceride
M257115,부분전호화전분,Partly Pregelatinized Starch
M257127,미분화에토돌락,Etodolac Micronized
M257129,포르모테롤푸마르산염수화물,Formoterol Fumarate Hydrate
M257131,히드로코르티손발레레이트,Hydrocortisone Valerate
M257132,설박탐나트륨,Sulbactam Sodium
M257134,에스트라디올발레레이트,Estradiol Valerate
M257139,베클로메타손디프로피오네이트,Beclomethasone Dipropionate
M257141,오파드라이II분홍색(85F44033),OPADRY II 85F44033 PINK
M257142,코코일이세티온산나트륨,Sodium Cocoyl Isethionate
M257143,묽은니트로글리세린,Dilute Nitroglycerin
M257150,조합향료(미쟝센아쿠아에센스2009AD향),Flavor Miseenscene Essence 2009AD
M257162,조합향료(H-91267),Flavor H-91267
M257164,조합향료(TF-PCCO-04),Flavor TF-PCCO-04
M257165,시메트로퓸브롬화물,Cimetropium Bromide
M257168,로미뎁신,Romidepsin
M257177,설로덱시드,Sulodexide
M257193,날푸라핀염산염,Nalfurafine Hydrochloride
M257210,미포멀슨나트륨,Mipomersen Sodium
M257212,벨리무맙,Belimumab
M257217,에데트산칼슘나트륨수화물,Edetate Calcium Disodium Hydrate
M257222,페닐메틸피라졸론,Phenyl Methyl Pyrazolone
M257229,오파드라이초록색(85G41016),OPADRY 85G41016 GREEN
M257232,"2,2-아조비스이소부티로니트릴","2,2-Azobisisobutyronitrile"
M257233,화이트에코에프케이4024636,
M257234,조합향료(Color Brilliance 361299),Flavor Color Brilliance 361299
M257246,조합향료(아로마 페퍼민트 HK-2478/3),Flavor Aroma Peppermint HK-2478/3
M257247,조합향료(레인보우민트),Flavor Rainbow Mint
M257249,폴리옥시에틸렌부틸에테르(1),Polyoxyethylene Butyl Ether (1)
M257250,폴리에틸렌글리콜디스테아레이트(1),Polyethylene Glycol Distearate 1
M257251,조합향료(Shower),Flavor Shower
M257258,조합향료(화이트프로랄HP-803721),Flavor White Floral HP-803721
M257270,암모늄티오락테이트,Ammonium Thiolactate
M257272,날부핀염산염,Nalbuphine Hydrochloride
M257275,폴리옥시에틸렌알킬페닐에테르인산,Polyoxyethylene Alkyl Phenyl Ether Phosphate
M257276,폴리에틸렌망이부착된부직패드N,Nonwoven Pad (Polyethylene Net) N
M257277,폴리에틸렌망이부착된부직패드H,Nonwoven Pad (Polyethylene Net) H
M257278,점착제가도포된폴리우레탄부직포(황갈색),Nonwoven Fabric (Adhesive) (Polyurethane) (Light Brown)
M257279,점착제가도포된폴리에틸렌필름,Polyethylene Film (Adhesive)
M257281,조합향료(APPLE KM-50092),Flavor Apple KM-50092
M257287,아로마(딸기향),Aroma (Strawberry Flavor)
M257288,아로마(라즈베리향),Aroma (Raspberry Flavor)
M257315,조합향료(5P02779),Flavor 5P02779
M257316,산화라우라민,Lauramine Oxide
M257317,애플민트향(BSA13001),Apple Mint Flavor BSA13001
M257321,오파드라이주황색(03F630005),OPADRY 03F630005 ORANGE
